EAGLE Version 9.5.2 Copyright (c) 1988-2019 Autodesk, Inc.,,,,,,,
List of signals with length and its max. frequency / current,,,,,,,,
exported from /home/mc/Documents/Capstone Eagle/oresat-c3-v1.brd,,,,,,,,
at 1/23/20 12:18 PM,,,,,,,,
Signal,f max. [MHz],l [mm],l[mil],A [mm2],R [mOhm],w min [mm],w max [mm],Imax [A]
SPARE2,21069.41,14.229,560.196850393701,0.011,23.58,0.3,0.305,0.93
SPARE3,33301.1,9.003,354.448818897638,0.011,14.92,0.3,0.305,0.93
SPARE4,29191.02,10.27,404.330708661417,0.011,17.02,0.3,0.305,0.93
SPARE5,59081.31,5.074,199.763779527559,0.011,8.41,0.3,0.305,0.93
SPI1_MISO,5859.01,51.169,2014.52755905512,0.007,127.19,0.2,0.2,0.64
SPI1_MOSI,5597.65,53.558,2108.58267716535,0.005,174.71,0.152,0.2,0.5
SPI1_SCK,5771.05,51.949,2045.23622047244,0.007,129.13,0.2,0.2,0.64
SPI2_MISO,7859.49,38.145,1501.77165354331,0.004,149.32,0.127,0.2,0.42
SPI2_MOSI,7695.7,38.957,1533.74015748032,0.004,152.5,0.127,0.2,0.42
SPI2_SCK,7705.53,38.907,1531.77165354331,0.004,152.3,0.127,0.2,0.42
SWCLK,3849.06,77.889,3066.49606299213,0.007,193.61,0.2,0.2,0.64
SWDIO,3790.15,79.1,3114.17322834646,0.007,196.62,0.2,0.2,0.64
SYSCLK1,77841.68,3.851,151.614173228346,0.012,5.47,0.35,0.35,1.08
SYSCLK2,72300.4,4.147,163.267716535433,0.012,5.89,0.35,0.35,1.08
TPS62111-PG,103521.54,2.896,114.015748031496,0.007,7.2,0.2,0.2,0.64
TPS62111-SYNC,40151.47,7.467,293.976377952756,0.007,18.56,0.2,0.2,0.64
TX1,222337.65,1.348,53.0708661417323,0.014,1.72,0.39,0.39,1.2
TX2,222337.65,1.348,53.0708661417323,0.014,1.72,0.39,0.39,1.2
USART2_RX,7003.13,42.809,1685.3937007874,0.007,106.41,0.2,0.2,0.64
USART2_TX,6975.82,42.977,1692.00787401575,0.007,106.83,0.2,0.2,0.64
VBUS,162655.1,1.843,72.5590551181102,0.007,4.58,0.2,0.2,0.64
VBUSP,4037.41,74.255,2923.42519685039,0.004,290.67,0.127,0.4,0.42
VCAP,111470.64,2.689,105.866141732283,0.011,4.46,0.3,0.4,0.93
VDDI,47962.55,6.251,246.102362204724,0.011,10.36,0.3,0.3,0.93
WDT,5454.64,54.962,2163.85826771654,0.007,136.62,0.2,0.2,0.64
WDT-PWR,55387.94,5.413,213.110236220472,0.007,13.45,0.2,0.2,0.64
